year,invalid_year,same_pickup_dropoff,dropoff_before_pickup,zero_distance,negative_fare,missing_pickup,missing_dropoff,long_trip_duration,zero_trip_duration,missing_passenger_count,extreme_passenger_count,negative_tip,pickup_eq_dropoff_location
2015,0,0,63387762,0,0,0,0,85,63387762,63388532,0,0,18
2022,0,0,0,0,0,0,0,2109,0,14511664,0,0,329441
2018,0,205,7509,0,0,0,0,87697,7714,260874754,0,0,11939744
2023,0,0,1,0,0,0,0,4344,1,15858639,0,0,343181
2021,0,0,0,0,0,0,0,5248,0,14805265,0,0,405628
2024,0,0,0,0,0,0,0,3946,0,17630326,0,0,315382
2016,0,0,132112979,0,0,0,0,28,132112979,132114083,0,0,104971
2020,0,0,0,0,0,0,0,11896,0,14945465,0,0,1982792
2017,0,0,72807164,0,0,0,0,58099,72807164,192309557,0,0,4684269
2019,0,12,66,0,0,0,0,48940,78,43261276,0,0,6186078
2025,0,5,46,0,0,0,0,449,51,1711551,0,0,19898
