year,invalid_year,same_pickup_dropoff,dropoff_before_pickup,zero_distance,negative_fare,missing_pickup,missing_dropoff,long_trip_duration,zero_trip_duration,missing_passenger_count,extreme_passenger_count,negative_tip,pickup_eq_dropoff_location
2023,0,1033,0,39493,2217,0,0,0,1033,55613,84,63,93662
2024,0,659,2,34573,2143,0,0,0,661,24328,148,59,78279
2025,0,48,0,2670,150,0,0,0,48,1836,6,4,5764
2014,0,9978,202,241457,11626,0,0,2,10180,0,816,169,2048572
2015,0,12831,259,273839,30852,0,0,11,13090,0,989,495,2651769
2019,0,14270,302,138590,19906,0,0,65,14572,673138,243,223,837557
2017,0,6640,51,135719,26636,0,0,1,6691,0,644,208,1726066
2018,0,5477,28,103608,23060,0,0,1,5505,101077,303,117,1219034
2020,0,2448,94,64464,4422,0,0,1,2542,528216,112,107,209763
2022,0,1500,1,49391,2163,0,0,0,1501,90340,193,266,99775
2021,0,1212,2,40486,2090,0,0,0,1214,412434,100,225,104414
2016,0,11225,101,218030,32982,0,0,2,11326,0,910,357,2331828
