year,invalid_year,same_pickup_dropoff,dropoff_before_pickup,zero_distance,negative_fare,missing_pickup,missing_dropoff,long_trip_duration,zero_trip_duration,missing_passenger_count,extreme_passenger_count,negative_tip,pickup_eq_dropoff_location
2001,27,0,0,4,0,0,0,0,0,0,0,0,0
2002,498,0,0,84,18,0,0,139,0,0,0,3,0
2003,50,1,0,19,0,0,0,0,1,0,0,0,0
2004,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,770,4,0,42,6,0,0,0,4,0,0,0,0
2009,1298,11,0,77,8,0,0,0,11,0,0,0,0
2010,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,385642,1292,958564,0,0,0,53,386934,0,158,0,0
2013,0,494450,10996,1119568,3080,0,0,173,505446,0,100,71,0
2014,0,356083,8907,954350,18523,0,0,210,364990,0,390,346,0
2015,0,171080,3917,876727,51339,0,0,480,174997,0,570,1008,0
2016,0,141290,2180,773693,55661,0,0,184,143470,0,938,1095,0
2017,0,107007,1447,743181,56091,0,0,11,108454,0,998,844,0
2018,0,89333,1044,704268,67781,0,0,65,90377,58444,982,716,0
2019,0,77873,1071,743602,170050,0,0,106,78944,444383,918,1828,0
2020,0,17401,20011,330084,92833,0,0,55,37412,809967,200,1013,0
2021,0,21710,37786,407782,139322,0,0,103,59496,1478695,164,2625,0
2022,0,18422,13613,573980,252883,0,0,207,32035,1368303,412,3414,0
2023,0,13094,2475,773445,381649,0,0,212,15569,1309356,409,1788,0
2024,0,11935,1575,776306,731023,0,0,230,13510,4091232,284,1331,0
2025,0,1927,124,90893,144118,0,0,20,2051,540149,18,124,0
2026,5,0,0,0,0,0,0,0,0,0,0,0,0
2028,1,0,0,0,0,0,0,0,0,0,0,0,0
2029,7,0,0,1,0,0,0,0,0,0,0,0,0
2031,2,0,0,0,0,0,0,0,0,0,0,0,0
2032,1,0,0,0,0,0,0,0,0,0,0,0,0
2033,3,0,0,0,0,0,0,0,0,0,0,0,0
2037,1,0,0,0,0,0,0,0,0,0,0,0,0
2038,4,0,0,0,0,0,0,0,0,0,0,0,0
2041,3,0,0,0,0,0,0,0,0,0,0,0,0
2042,1,0,0,0,0,0,0,0,0,0,0,0,0
2053,2,1,0,1,0,0,0,0,1,0,0,0,0
2058,3,0,0,0,0,0,0,0,0,0,0,0,0
2066,1,0,0,0,0,0,0,0,0,0,0,0,0
2070,1,0,0,1,0,0,0,0,0,0,0,0,0
2084,8,0,0,0,0,0,0,0,0,0,0,0,0
2088,2,0,0,0,0,0,0,0,0,0,0,0,0
2090,1,0,0,0,0,0,0,0,0,0,0,0,0
2098,1,0,0,0,0,0,0,0,0,0,0,0,0
