year,month,trip_count
2020,2,1913495
2020,3,1441864
2020,12,1164605
2021,3,1302665
2021,7,1240014
2021,2,1037692
2021,12,1339973
2022,5,1255828
2022,11,1106084
2022,1,1143691
2022,4,1246669
2022,6,1195414
2022,9,1160493
2022,8,1151155
2022,10,1174988
2023,2,1110797
2023,3,1328242
2023,7,1370843
2023,12,1376748
2024,2,1176093
2024,3,1469352
2024,7,1382739
2024,12,1913200
2016,1,8510803
2016,6,10768623
2016,9,11759658
2016,10,12657985
2016,11,12436993
2016,4,10138188
2016,5,10739532
2016,8,11224963
2017,2,13284960
2017,3,15703098
2017,7,15672674
2017,12,19989217
2018,2,19350693
2018,3,21985270
2018,12,23904082
2018,7,21599714
2019,4,1937850
2019,10,1897856
2019,11,1879487
2019,1,23159064
2019,5,2073061
2019,6,2009900
2019,9,1248520
2019,8,1880335
2020,7,1127489
2020,1,2028587
2020,6,1011867
2020,9,1271036
2021,1,1154112
2021,4,1267018
2021,5,1263660
2021,8,1203018
2021,9,1179412
2021,6,1311346
2021,10,1277393
2021,11,1228962
2022,2,1251504
2022,3,1380816
2022,12,1285443
2022,7,1159579
2023,4,1246479
2023,9,1293303
2023,10,1628438
2023,1,1114320
2023,5,1385826
2023,6,1219445
2023,11,1343846
2023,8,1440352
2024,1,1290116
2024,4,1444626
2024,5,1352502
2024,6,1386539
2024,10,1421231
2024,11,1591082
2024,8,1484471
2024,9,1718375
2025,1,1711551
2016,7,10977358
2016,2,9427825
2016,3,9613395
2016,12,13858760
2017,8,15906264
2017,4,14764943
2017,9,16621486
2017,10,17893057
2017,1,13657538
2017,5,15397393
2017,6,15365121
2017,11,18053806
2018,5,21565752
2018,9,22151737
2018,11,22911480
2018,1,19808095
2018,4,21049621
2018,6,21137951
2018,10,23289767
2018,8,22120592
2019,2,1707650
2019,3,1475569
2019,7,1947788
2019,12,2044196
2020,4,566426
2020,5,774970
2020,8,1184036
2020,10,1254734
2020,11,1206356
