year,month,trip_count
2022,1,14751591
2022,6,17780075
2022,10,19306090
2022,5,18157335
2022,8,17185687
2023,7,19132131
2023,12,20516297
2023,3,20413539
2023,2,17960971
2024,3,21280788
2024,7,19182934
2024,12,21068851
2024,2,19359148
2019,9,20069321
2019,10,21162290
2019,5,22329247
2019,6,21001990
2019,11,21635568
2019,4,21734822
2019,8,20126113
2020,2,21725100
2020,3,13392928
2020,7,9958454
2020,12,11637123
2021,2,11613942
2021,3,14227393
2021,7,15027174
2021,12,16054495
2022,4,17752561
2022,9,17793551
2022,11,18085896
2022,2,16019283
2022,12,19665847
2022,3,18453548
2023,1,18479031
2023,5,19847676
2023,10,20186330
2023,11,19269250
2023,4,19144903
2023,6,19366619
2023,8,18322150
2023,9,19851123
2024,11,19987533
2024,1,19663930
2024,4,19733038
2024,6,20123226
2024,10,20028282
2024,5,20704538
2024,8,19128392
2024,9,19209788
2025,1,20405666
2019,2,20159102
2019,3,23864598
2019,12,22243901
2019,7,20303312
2020,6,7555193
2020,9,12106669
2020,10,13268411
2020,1,20569368
2020,4,4312909
2020,5,6089999
2020,8,11096852
2020,11,11596865
2021,6,14961892
2021,9,14886055
2021,10,16545356
2021,11,16041639
2021,1,11908468
2021,4,14111371
2021,5,14719171
2021,8,14499696
2022,7,17464619
