year,month,trip_count
2016,6,1404727
2016,8,1247675
2017,2,1022313
2017,3,1157827
2017,7,914783
2017,12,905967
2018,2,769069
2018,3,836063
2018,7,684361
2018,12,719670
2019,1,672076
2019,4,567852
2019,5,545464
2019,6,506223
2019,8,449693
2019,9,449015
2019,10,476385
2019,11,449506
2020,2,398647
2020,3,223493
2020,7,72255
2020,12,83129
2021,2,64570
2021,3,83831
2021,12,99959
2021,7,83675
2022,1,62511
2022,4,76119
2022,5,76908
2022,6,73709
2022,8,65926
2022,9,69025
2022,10,69325
2022,11,62309
2023,2,64792
2023,3,72039
2023,7,61346
2023,12,64213
2024,7,51820
2024,2,53578
2024,3,57451
2024,12,53987
2025,2,37
2008,10,1
2010,9,348
2012,9,3
2016,1,1445292
2016,4,1543926
2016,5,1536979
2016,9,1162373
2016,10,1252572
2016,11,1148214
2016,3,1576393
2016,12,1224158
2017,1,1069565
2017,5,1059463
2017,6,976467
2017,8,867357
2017,9,882381
2017,10,925722
2017,11,874217
2017,4,1080844
2018,1,792726
2018,4,799419
2018,5,796601
2018,6,738524
2018,8,675763
2018,9,681950
2018,10,731860
2018,11,673308
2019,2,615588
2019,3,643031
2019,7,470712
2019,12,455269
2020,1,447757
2020,4,35642
2020,5,57361
2020,6,63111
2020,8,81064
2020,9,87981
2020,10,95115
2020,11,88611
2021,1,76516
2021,4,86931
2021,5,88183
2021,6,86747
2021,9,95707
2021,10,110891
2021,11,108228
2021,8,83491
2022,2,69399
2022,3,78519
2022,7,64204
2022,12,72440
2023,1,68231
2023,4,65391
2023,5,69178
2023,6,65548
2023,8,60675
2023,9,65439
2023,10,66188
2023,11,64015
2024,1,56555
2024,4,56473
2024,5,61007
2024,6,54738
2024,8,51806
2024,9,54422
2024,10,56153
2024,11,52214
2025,1,48294
2030,11,2
2035,9,1
2041,8,1
2062,8,1
2081,6,1
2008,12,113
2009,1,315
2016,2,1510722
2016,7,1332510
