year,avg_trip_distance
2026,7.1825
2032,23.21
2038,1.735
2042,0.29
2012,2.8765235022734363
2003,5.389324324324324
2023,4.0889400027742
2024,4.976098534234809
2025,5.85513618745342
2029,4.228461538461539
2033,0.8566666666666666
2090,18.6
2020,3.298309492246012
2022,5.959417256902438
2088,2.34
2010,2.79
2041,4.286666666666666
2058,1.2966666666666666
2066,16.14
2009,3.746410144293835
2021,6.9227239783009225
2011,1.81
2002,3.986854990583804
2084,1.25
2098,4.95
2014,13.36435933881402
2031,1.565
2001,3.2704761904761903
2028,16.15
2053,0.38
2070,0.0
2004,1.59
2008,4.683917151162791
2015,11.845839138348795
2016,4.64301178916892
2019,3.018343314915608
2037,2.99
2013,8.315198713463458
2017,2.928646280727186
2018,2.939431678990961
