year,avg_fare_amount
2026,25.25
2032,62.0
2038,7.875
2042,4.0
2012,10.989770750101947
2023,19.522207646968017
2024,19.268502646522172
2025,17.081799367520237
2029,15.5
2033,5.5
2090,52.0
2003,19.277027027027028
2020,12.664743236348134
2022,10.362696159702148
2088,9.5
2010,11.5
2041,14.0
2058,7.166666666666667
2066,52.0
2009,15.744573677306517
2011,10.0
2021,13.519335301299472
2084,8.4375
2098,22.5
2014,12.650258521551837
2002,20.207834274952916
2031,8.0
2028,52.0
2053,2.5
2070,0.0
2004,7.0
2008,17.88139534883721
2015,12.939034928436216
2016,13.132365833902767
2019,13.412608841848623
2001,14.883333333333335
2037,15.0
2013,12.348610381003343
2017,13.047932720775064
2018,13.07710237900606
