year,month,trip_count
2001,1,39
2001,2,2
2001,8,1
2002,2,22
2002,10,439
2002,12,70
2003,1,71
2003,3,1
2003,12,2
2004,4,1
2008,8,6
2008,12,1370
2009,1,2286
2010,8,2
2011,1,2
2011,2,2
2012,1,26116696
2012,2,26722691
2012,3,32293846
2012,4,26855604
2012,5,27930506
2012,6,30192936
2012,7,28758614
2012,8,28763504
2012,9,29093708
2012,10,29044630
2012,11,27552060
2012,12,29393220
2013,1,29553234
2013,2,27980352
2013,3,31498456
2013,4,29305256
2013,5,30570104
2013,6,28770912
2013,7,27647680
2013,8,23363050
2013,9,28215386
2013,10,30009112
2013,11,28776902
2013,12,27942236
2014,1,27565034
2014,2,26127588
2014,3,30856268
2014,4,29237518
2014,5,29548096
2014,6,27626158
2014,7,26208546
2014,8,25397486
2014,9,26848700
2014,10,28635548
2014,11,26619983
2014,12,26224234
2015,1,25482070
2015,2,24884788
2015,3,26685902
2015,4,26127516
2015,5,26315354
2015,6,24649872
2015,7,23119332
2015,8,22246246
2015,9,22436244
2015,10,24614666
2015,11,22610482
2015,12,22905992
2016,1,21810134
2016,2,22750824
2016,3,24407648
2016,4,23855992
2016,5,23664098
2016,6,22263290
2016,7,20588160
2016,8,19884526
2016,9,20232036
2016,10,21709252
2016,11,20204256
2016,12,20893394
2017,1,19421644
2017,2,18339550
2017,3,20590882
2017,4,20094270
2017,5,20204254
2017,6,19313986
2017,7,17176972
2017,8,16844394
2017,9,17891074
2017,10,19537194
2017,11,18569554
2017,12,19016998
2018,1,17521866
2018,2,16986408
2018,3,18860726
2018,4,18611992
2018,5,18449640
2018,6,17429090
2018,7,15701960
2018,8,15709894
2018,9,16097788
2018,10,17669106
2018,11,16312068
2018,12,16390510
2019,1,15392946
2019,2,14098418
2019,3,15732840
2019,4,14951938
2019,5,15197098
2019,6,13942700
2019,7,12620752
2019,8,12146178
2019,9,13135266
2019,10,14428220
2019,11,13755634
2019,12,13792628
2020,1,12810572
2020,2,12599071
2020,3,6014736
2020,4,238059
2020,5,348498
2020,6,549863
2020,7,800454
2020,8,1007291
2020,9,1340897
2020,10,1681267
2020,11,1508915
2020,12,1461931
2021,1,1369767
2021,2,1371696
2021,3,1925130
2021,4,2171218
2021,5,2507077
2021,6,2834205
2021,7,2822113
2021,8,2788300
2021,9,2963780
2021,10,3463485
2021,11,3472897
2021,12,3214319
2022,1,2463936
2022,2,2979429
2022,3,3627891
2022,4,3599902
2022,5,3588292
2022,6,3557692
2022,7,3174363
2022,8,3152694
2022,9,3183784
2022,10,3675384
2022,11,3252670
2022,12,3399585
2023,1,3066731
2023,2,2914003
2023,3,3403660
2023,4,3288249
2023,5,3513664
2023,6,3307259
2023,7,2907093
2023,8,2824201
2023,9,2846741
2023,10,3522269
2023,11,3339731
2023,12,3376537
2024,1,2964623
2024,2,3007533
2024,3,3582611
2024,4,3514295
2024,5,3723843
2024,6,3539170
2024,7,3076876
2024,8,2979192
2024,9,3633025
2024,10,3833780
2024,11,3646372
2024,12,3668371
2025,1,3475206
2025,2,2
2025,3,2
2026,2,4
2026,6,2
2026,12,2
2028,12,1
2029,5,5
2029,11,8
2031,2,4
2032,2,2
2033,4,6
2037,11,2
2038,2,8
2041,3,2
2041,6,2
2041,11,2
2042,12,2
2053,3,2
2053,7,2
2058,12,6
2066,12,2
2070,8,1
2084,11,16
2088,1,4
2090,12,2
2098,9,1
